"|","|__name","|__year","|__position","|__rating","|__url"
"","Agent Sai Srinivasa Athreya","2019","40","8.2","https://www.imdb.com/title/tt10214826/"
"","Article 15","2019","77","8.1","https://www.imdb.com/title/tt10324144/"
"","Section 375","2019","102","8.0","https://www.imdb.com/title/tt8144834/"
"","Chhichhore","2019","105","8.0","https://www.imdb.com/title/tt9052870/"
"","Gully Boy","2019","116","8.0","https://www.imdb.com/title/tt2395469/"
"","Super 30","2019","151","7.8","https://www.imdb.com/title/tt7485048/"
"","Badla","2019","165","7.7","https://www.imdb.com/title/tt8130968/"
"","Sonchiriya","2019","166","7.7","https://www.imdb.com/title/tt8108200/"
"","Avane Srimannarayana","2019","198","7.6","https://www.imdb.com/title/tt7998242/"
"","The Tashkent Files","2019","206","7.6","https://www.imdb.com/title/tt8108268/"
"","Nerkonda Paarvai","2019","221","7.5","https://www.imdb.com/title/tt9675716/"
"","Jallikattu","2019","244","7.5","https://www.imdb.com/title/tt8721556/"
"","The Sky Is Pink","2019","248","7.5","https://www.imdb.com/title/tt8902990/"
"2020","Soorarai Pottru","2020","35","8.2","https://www.imdb.com/title/tt10189514/"
"","Dil Bechara","2020","139","7.9","https://www.imdb.com/title/tt8110330/"
"","Ludo","2020","224","7.5","https://www.imdb.com/title/tt7212754/"
"","Lootcase","2020","232","7.5","https://www.imdb.com/title/tt10515526/"
"","Drishyam 2","2021","6","8.4","https://www.imdb.com/title/tt12361178/"
"2030","","","","",""
